baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
gene1:LOC106607996	174.791490913362	1.00381238561169	0.309043048796139	3.24813125395309	0.00116165670717527	0.00305598823369588	nsd2
gene29:LOC106561325	226.043349418742	2.09002286019994	0.248735643585505	8.40258689937808	4.36748932966748e-17	7.17554531917318e-16	LOC106561325
gene34:LOC106565696	273.943041404569	1.59489233853465	0.332717943649767	4.79352667619725	1.63874656866105e-06	7.31898638724826e-06	rab11fip5a
gene35:LOC106568467	8.30863959948053	4.82227436215919	1.15107804354833	4.18935483061945	2.79748677135615e-05	0.000101680483502915	capn3
gene36:LOC106569409	117.839028812282	1.12893156976444	0.301350178475003	3.74624490178654	0.000179501359275028	0.000559141017537913	vps39
gene42:LOC106573201	48.9161506818444	1.31801358089896	0.379948676252572	3.46892531354105	0.000522544697578612	0.00147926837405541	LOC106573201
gene53:LOC106582002	92.7521200939941	2.6007272211165	0.578555360175647	4.49520892923182	6.95016708749365e-06	2.80752688392519e-05	LOC106582002
gene54:LOC106578466	97.2177016793135	-4.19787359337927	0.48746973312762	-8.61155741187374	7.2074628431001e-18	1.29113908550114e-16	LOC106578466
gene58:LOC106586969	21.6273534833908	-8.14514613556783	1.12066925753586	-7.26810883835387	3.64555025067538e-13	3.90549036164906e-12	LOC106586969
gene67:LOC106594936	360.724541799508	1.97371480253894	0.332558344714047	5.93494294733771	2.93947698353968e-09	1.93957888751978e-08	nusap1
gene74:LOC106598189	15.8956300244036	-7.21350068668087	1.26517076313682	-5.70160242147547	1.18686388550752e-08	7.22384297706845e-08	plek2
gene76:LOC106598856	97.1001992517428	2.36263522465785	0.593426352562468	3.98134530840394	6.85263122333768e-05	0.000231069590883013	rdh12
gene77:LOC106599105	937.153072083725	2.30878252282227	0.309428201276432	7.46144828848255	8.55765488141672e-14	9.90952119910856e-13	arg2
gene79:LOC106599665	469.454319235599	-3.64059327696667	0.35548266734821	-10.2412680317844	1.29527476653769e-24	4.32391893908025e-23	LOC106599665
gene80:LOC106599806	394.296127925557	1.93665807098666	0.140804824077123	13.7542025543521	4.80550122419564e-43	7.5405252631857e-41	chp1
gene91:LOC106600942	113.744057737775	-1.29934780316705	0.490484400188786	-2.6491113737092	0.00807037309545233	0.0175752529122649	actn1
gene99:LOC106602253	102.669794874492	-4.57906538324219	0.488727301579152	-9.36936686051001	7.29689167686257e-21	1.72393472201432e-19	cdkl1
gene104:LOC100196112	89.0131268666874	1.7168103580456	0.405080712263553	4.23819329350988	2.25325736528693e-05	8.3483269182974e-05	cdkn3
gene108:LOC106602745	779.458446708631	1.61776617842626	0.217901339822563	7.42430578785613	1.13372961787421e-13	1.29242533711278e-12	LOC106602745
gene117:LOC106603281	10.3572928791766	-2.85041732793017	0.741394046063785	-3.8446725369102	0.000120713527417643	0.000389362102119658	LOC106603281
gene127:LOC106604359	1396.83643525479	3.2246800259933	0.437680820537394	7.36765212154822	1.73659227085606e-13	1.93604965819641e-12	LOC106604359
gene129:LOC106604468	441.060936827292	1.17702176052209	0.28004893050437	4.20291467781101	2.63499929703498e-05	9.6179604892272e-05	LOC106604468
gene136:LOC100380763	79.7100747622955	-6.83682369271219	0.750999647332842	-9.10363102964563	8.73611860041555e-20	1.88349690001465e-18	xdh
gene138:LOC106605188	12.4616658024961	-2.6016164511325	0.713806903326715	-3.64470620696942	0.000267697427703438	0.000806141791985014	efr3ba
gene149:LOC106606619	30.3225848677013	-3.83713059756137	0.770424187442476	-4.98054274528845	6.34061949871825e-07	3.02328238464234e-06	LOC106606619
gene158:LOC106607199	25.0322977688017	-5.30532894975316	0.81353596647796	-6.52132071397102	6.96909893775341e-11	5.68355392247077e-10	LOC106607199
gene165:LOC106607535	464.418704521914	2.10605427316271	0.391228203344778	5.38318622010669	7.31787606979952e-08	3.98752901608407e-07	LOC106607535
gene166:LOC106607662	53.8384095436128	2.03775558709701	0.426813362112499	4.77434815304565	1.80290254782584e-06	7.99253202309314e-06	matn3b
gene173:LOC106608166	1747.39602136566	-3.58753416557318	0.34840089105513	-10.2971440592714	7.25842584273896e-25	2.49395772252329e-23	LOC106608166
gene177:LOC106608351	160.029838949714	-2.50279370676839	0.309604093636449	-8.08385211374912	6.27524216622122e-16	9.02619759232496e-15	bahd1
gene181:LOC106608646	21.6868678561541	-8.14886073204044	1.05716750686622	-7.70820203904698	1.27602628014707e-14	1.60766162036734e-13	disp2
gene183:LOC106608927	33.1926173798828	-3.17923196080142	0.661034278849982	-4.80948123648354	1.51322499032151e-06	6.79665710867962e-06	eml1
gene191:LOC106610138	10.7168918507347	-3.09684834252781	0.727539734571066	-4.25660372261813	2.07555767139733e-05	7.73176193370721e-05	evla
gene194:LOC106610468	182.087484741362	1.50530589818643	0.342979127727063	4.38891400815598	1.13918099415176e-05	4.44921974063558e-05	mis18bp1
gene213:LOC106612204	223.784890411954	1.73703250683359	0.236136209862462	7.35606160463626	1.89415625533282e-13	2.09815881465576e-12	LOC106612204
gene215:LOC106560480	458.030702777083	1.66899033381404	0.299069043097791	5.58061883144591	2.39664345507013e-08	1.39866167267548e-07	wars
gene217:LOC106560243	395.276762518332	1.58067427252859	0.434263750635028	3.63989458069469	0.000272749683366327	0.000820009626948578	LOC106560243
gene220:LOC106613993	1727.26240780742	1.12294502828473	0.214470301420262	5.23589989312451	1.64182928336984e-07	8.501181694357e-07	soul3
gene227:LOC106612547	275.389797370681	1.18485559541253	0.511396236602205	2.31690323590352	0.0205090034635964	0.0401441011270104	asap3
gene230:LOC106560842	35.1087476726445	4.80490601217823	0.86672134266278	5.54377257795035	2.96023268417764e-08	1.70418104084411e-07	vgll2b
gene231:LOC106560797	537.7197845163	-1.97071003174298	0.350424840458697	-5.6237737860232	1.86830275969278e-08	1.10549723487931e-07	ctsl.1
gene233:LOC106561796	671.659134952243	1.5689194151942	0.180903781479463	8.67267340883259	4.22091279149914e-18	7.72640324647282e-17	qkia
gene236:LOC106561476	327.830315445303	-2.49291908047296	0.241376614448206	-10.327922968726	5.2689098889341e-25	1.84493583378274e-23	LOC106561476
gene242:LOC106562615	255.912015459802	-8.39744866682803	0.776356599342556	-10.8164839120827	2.87600128833746e-27	1.21600152454879e-25	tmem30b
gene246:LOC106563115	772.988854742668	1.02579035396935	0.208708930974148	4.91493272080633	8.88129537902272e-07	4.13591255842983e-06	ATIF1
gene252:LOC106563256	439.644679623005	1.17150642837455	0.212767969051352	5.50602815638949	3.67019854532485e-08	2.08589261893215e-07	LOC106563256
gene255:LOC106564353	6.95307800817749	6.00668834316444	1.36940951250861	4.38633461232559	1.15276741497783e-05	4.49809232150193e-05	LOC106564353
gene258:LOC106564204	61.3941981022435	1.7474108465593	0.740129368234256	2.36095326243861	0.01822802772405	0.0361615183224122	LOC106564204
gene261:LOC106564129	31.2300442738933	2.89804200903744	0.708534781135214	4.09019018712701	4.31019605850588e-05	0.000151266694109243	LOC106564129
gene265:LOC106564706	7.78496067863335	5.6689091694571	0.968625058303791	5.85253202037145	4.84144995905882e-09	3.11540934536542e-08	CNR1
gene267:LOC100380710	445.518244432475	1.61258505212977	0.229600050402811	7.02345251797917	2.1645173048405e-12	2.13132319717902e-11	orc3
gene275:LOC106565365	159.628219386963	-10.5463994110908	0.850431316522311	-12.4012359448597	2.57323637148874e-35	2.1091194091786e-33	MYO6
gene281:LOC106566099	221.236701803179	-1.67327192184757	0.551643717068807	-3.03324749303518	0.00241937089729668	0.00595717044888618	rsad2
gene282:LOC106566164	50.6791906230166	1.26354971272954	0.281690040327214	4.48560308082527	7.27079841779449e-06	2.92657116561514e-05	rnf144aa
gene299:LOC106567189	789.739401865543	-2.0398006962094	0.185147272951506	-11.0171792632542	3.15800484199569e-28	1.44338529717569e-26	klf11b
gene301:LOC106567684	179.426994626339	-2.58470509708192	0.674418342628583	-3.83249525362535	0.000126850047472671	0.000406882481743616	pnoca
gene308:LOC106568770	14.6024146022313	-7.09362645661021	1.02477146565655	-6.92215454307701	4.44825570888235e-12	4.2050633784064e-11	hnrnpua
gene324:LOC106570958	161.153212722935	-10.078688091648	1.10499679891035	-9.12101112110614	7.44266585655091e-20	1.61411784352382e-18	esrrga
gene325:LOC106570601	13.1224298960405	-4.66539980544491	1.30098490736967	-3.58605221245604	0.000335721769045117	0.000990958624221234	ush2a
gene328:LOC106571499	67.7173115805567	-6.29593651056032	0.82069691638185	-7.67145140293298	1.7006091081967e-14	2.11908332004219e-13	LOC106571499
gene329:LOC106571436	18.7585774115916	-6.07602874461933	0.881484538607695	-6.89294988000176	5.46471327480586e-12	5.11160604471241e-11	fzd3b
gene340:LOC106571989	87.50699160713	-2.06761960423022	0.340150917960077	-6.07853601169142	1.21284746644461e-09	8.38562281052876e-09	bach2a
gene341:LOC106572417	562.899783499071	1.30174636967957	0.26822923236171	4.85311149056323	1.21539316386617e-06	5.54725176657723e-06	LOC106572417
gene342:LOC106572210	692.793868676586	-1.01356684141773	0.208419952036613	-4.86309890926219	1.15562063081321e-06	5.29032427711836e-06	rab3gap2
gene354:LOC106573499	65.9304625541685	1.03270923065334	0.415636068625604	2.48464776906449	0.0129679674947377	0.0267631924460606	filip1a
gene362:LOC106574183	90.8149285886968	-1.32211767428046	0.290736490190569	-4.54747759186973	5.42926988579896e-06	2.22843847054132e-05	erich1
gene365:LOC106574446	137.08097134872	3.80240387063427	0.528720929431514	7.19170295513486	6.39881263190993e-13	6.70333306169701e-12	arhgef10
gene368:LOC106574998	39.1077290449527	2.47114823758647	0.583625169569065	4.23413582284517	2.2943225405231e-05	8.48315351645278e-05	lgals8b
gene373:LOC106575182	60.5488570358007	-1.65721838181127	0.346456515203927	-4.78333732831036	1.72408427467226e-06	7.66977029589269e-06	tiam2a
gene375:LOC100194758	416.777874890142	3.20079740263311	0.379637925474208	8.43118452571611	3.42183682314464e-17	5.67591621828904e-16	icef1
gene378:LOC106575860	138.008920991337	1.30724867601599	0.382812965445848	3.41484953231271	0.000638172547104548	0.0017768191526415	prkd3
gene380:LOC106576115	31.65306505511	-8.69533260585226	0.975156838558278	-8.91685548624967	4.79715044817079e-19	9.62809751030613e-18	foxa2
gene384:LOC100195732	62.040639748791	-9.66472121596448	1.12947772753318	-8.55680548661423	1.16038077061363e-17	2.04376068139951e-16	nx22a
gene388:LOC106577869	151.609811415707	-2.46244236106505	0.384677135062719	-6.40132239901278	1.54036920266894e-10	1.20306237726683e-09	ralgapa2
gene389:LOC106578112	145.760221626657	-9.4509333803922	0.943429495971283	-10.0176361039701	1.27516310756755e-23	3.89355994436573e-22	insm1b
gene398:LOC106578678	24.0279109304842	-8.29247461331618	1.12372640447262	-7.37944270091967	1.58953470530274e-13	1.78089793271089e-12	tmem54
gene400:LOC106578585	284.850084811518	-3.16529775945115	0.334170869041474	-9.4720936284195	2.74290010941008e-21	6.72950818648996e-20	lck
gene402:LOC106578739	891.094228737941	-1.41232110963149	0.253335352906236	-5.57490730539378	2.47661702011308e-08	1.44160629282242e-07	zgc:154055
gene405:LOC100196795	206.36092808513	-1.86647970467726	0.370562672352913	-5.03687997721391	4.73181272323938e-07	2.29800696355533e-06	clic4
gene407:LOC106579491	1058.28321650677	-1.2679377317256	0.242284971843456	-5.23324959892616	1.66555587173384e-07	8.61643264179938e-07	runx3
gene412:LOC100136438	216.639966682566	-3.48110421155134	0.41798169313282	-8.32836525796159	8.19662899612229e-17	1.30007397099036e-15	rhd
gene414:LOC106579967	439.817393967515	2.47022266221503	0.39835443550148	6.20106729602574	5.60815252049014e-10	4.07024534773046e-09	ldlrap1b
gene419:LOC106580335	5470.00005562229	2.14211778095696	0.407683354103943	5.25436655530166	1.48534794518016e-07	7.73873663981205e-07	LOC106580335
gene420:LOC106580379	573.363971837165	1.06373097455744	0.241154698457678	4.41099004647479	1.02899048705544e-05	4.0425315118045e-05	isg12
gene422:LOC106580508	32.7955493603768	-1.31200504464063	0.457080450488585	-2.87040288692765	0.00409949099521328	0.00959337780305793	LOC106580508
gene426:LOC106580785	25.204222795917	1.7918612271998	0.699195066506435	2.56274867062912	0.0103847191710122	0.0220077144760227	LOC106580785
gene429:LOC106580844	16.7693623009464	-7.77456926097663	1.36999885480274	-5.67487281739082	1.38791732740254e-08	8.36943241635277e-08	KIAA1522
gene445:LOC106583758	12.8586632869568	-7.39681488790625	1.31553705729779	-5.6226579455693	1.88041504841958e-08	1.11199151079758e-07	LOC106583758
gene447:LOC106582108	90.3258663229038	1.66020864516175	0.366009858858356	4.53596701012428	5.73401434600062e-06	2.34433862274901e-05	bub1bb
gene450:LOC100196540	81.8298006539892	-2.11322741383969	0.470903931232633	-4.48759773210669	7.20307716804957e-06	2.90170089706313e-05	spit1
